location,start,end
NE_slope,2023-04-21T06:40:00Z,2023-05-26T14:50:00Z
lagoon_D,2023-04-21T23:20:00Z,2023-06-25T19:10:00Z
SE_slope,2023-04-21T06:00:00Z,2023-06-26T06:00:00Z
W_slope,2023-04-22T07:20:00Z,2023-06-26T23:40:00Z
lagoon_C,2023-04-21T07:00:00Z,2023-06-26T15:00:00Z
NW_slope,2023-04-21T23:00:00Z,2023-05-22T02:50:00Z
E_slope,2023-04-22T06:20:00Z,2023-05-24T14:20:00Z
S_slope,2023-04-22T06:30:00Z,2023-06-27T20:40:00Z
lagoon_A,2023-04-21T05:00:00Z,2023-06-28T01:00:00Z
SW_slope,2023-04-22T07:00:00Z,2023-06-27T04:00:00Z
